,region,Gold,Silver,Bronze,Total
0,USA,1035.0,802.0,708.0,2545.0
1,Russia,592.0,498.0,487.0,1577.0
2,Germany,444.0,457.0,491.0,1392.0
3,UK,278.0,317.0,300.0,895.0
4,France,234.0,256.0,287.0,777.0
5,China,228.0,163.0,154.0,545.0
6,Italy,219.0,191.0,198.0,608.0
7,Hungary,178.0,154.0,172.0,504.0
8,Sweden,150.0,175.0,188.0,513.0
9,Australia,150.0,171.0,197.0,518.0
10,Japan,142.0,134.0,161.0,437.0
11,Finland,104.0,86.0,120.0,310.0
12,South Korea,90.0,85.0,89.0,264.0
13,Netherlands,88.0,97.0,114.0,299.0
14,Romania,88.0,95.0,120.0,303.0
15,Cuba,77.0,67.0,70.0,214.0
16,Poland,69.0,87.0,134.0,290.0
17,Canada,64.0,104.0,137.0,305.0
18,Czech Republic,64.0,68.0,75.0,207.0
19,Norway,59.0,51.0,48.0,158.0
20,Switzerland,58.0,82.0,69.0,209.0
21,Bulgaria,51.0,86.0,80.0,217.0
22,Denmark,49.0,81.0,82.0,212.0
23,New Zealand,47.0,27.0,44.0,118.0
24,Belgium,44.0,59.0,63.0,166.0
25,Spain,44.0,63.0,41.0,148.0
26,Greece,42.0,57.0,52.0,151.0
27,Turkey,40.0,27.0,28.0,95.0
28,Ukraine,35.0,32.0,59.0,126.0
29,Serbia,31.0,39.0,37.0,107.0
30,Kenya,31.0,38.0,31.0,100.0
31,Brazil,30.0,36.0,62.0,128.0
32,Austria,26.0,40.0,42.0,108.0
33,South Africa,25.0,33.0,30.0,88.0
34,Ethiopia,22.0,9.0,22.0,53.0
35,Jamaica,22.0,32.0,22.0,76.0
36,Argentina,21.0,25.0,28.0,74.0
37,Kazakhstan,19.0,22.0,29.0,70.0
38,Iran,18.0,21.0,29.0,68.0
39,North Korea,16.0,15.0,23.0,54.0
40,Mexico,13.0,24.0,30.0,67.0
41,Belarus,13.0,28.0,43.0,84.0
42,Croatia,11.0,10.0,12.0,33.0
43,Thailand,9.0,8.0,13.0,30.0
44,Slovakia,9.0,11.0,8.0,28.0
45,Estonia,9.0,9.0,16.0,34.0
46,India,9.0,7.0,12.0,28.0
47,Ireland,9.0,11.0,13.0,33.0
48,Uzbekistan,9.0,7.0,17.0,33.0
49,Georgia,8.0,6.0,18.0,32.0
50,Egypt,7.0,8.0,12.0,27.0
51,Indonesia,7.0,12.0,11.0,30.0
52,Azerbaijan,7.0,12.0,25.0,44.0
53,Bahamas,6.0,2.0,6.0,14.0
54,Lithuania,6.0,6.0,13.0,25.0
55,Morocco,6.0,5.0,12.0,23.0
56,Algeria,5.0,4.0,8.0,17.0
57,Slovenia,5.0,8.0,10.0,23.0
58,Colombia,5.0,9.0,14.0,28.0
59,Portugal,4.0,8.0,12.0,24.0
60,Luxembourg,4.0,2.0,0.0,6.0
61,Latvia,3.0,11.0,5.0,19.0
62,Nigeria,3.0,8.0,13.0,24.0
63,Zimbabwe,3.0,4.0,1.0,8.0
64,Tunisia,3.0,3.0,7.0,13.0
65,Cameroon,3.0,1.0,1.0,5.0
66,Taiwan,3.0,7.0,14.0,24.0
67,Pakistan,3.0,3.0,4.0,10.0
68,Dominican Republic,3.0,2.0,2.0,7.0
69,Trinidad,3.0,5.0,13.0,21.0
70,Venezuela,2.0,3.0,10.0,15.0
71,Uganda,2.0,3.0,2.0,7.0
72,Uruguay,2.0,2.0,6.0,10.0
73,Armenia,2.0,5.0,9.0,16.0
74,Chile,2.0,7.0,4.0,13.0
75,Mongolia,2.0,10.0,14.0,26.0
76,Kosovo,1.0,0.0,0.0,1.0
77,Israel,1.0,1.0,7.0,9.0
78,Puerto Rico,1.0,2.0,6.0,9.0
79,Bahrain,1.0,1.0,1.0,3.0
80,Peru,1.0,3.0,0.0,4.0
81,Panama,1.0,0.0,2.0,3.0
82,Ivory Coast,1.0,1.0,1.0,3.0
83,Mozambique,1.0,0.0,1.0,2.0
84,Vietnam,1.0,3.0,0.0,4.0
85,Syria,1.0,2.0,2.0,5.0
86,United Arab Emirates,1.0,0.0,1.0,2.0
87,Grenada,1.0,1.0,0.0,2.0
88,Tajikistan,1.0,1.0,2.0,4.0
89,Ecuador,1.0,1.0,0.0,2.0
90,Suriname,1.0,0.0,1.0,2.0
91,Costa Rica,1.0,1.0,2.0,4.0
92,Fiji,1.0,0.0,0.0,1.0
93,Jordan,1.0,0.0,0.0,1.0
94,Burundi,1.0,1.0,0.0,2.0
95,Individual Olympic Athletes,1.0,1.0,3.0,5.0
96,Haiti,1.0,1.0,1.0,3.0
97,Palestine,0.0,0.0,0.0,0.0
98,Tanzania,0.0,2.0,0.0,2.0
99,"Virgin Islands, US",0.0,1.0,0.0,1.0
100,Paraguay,0.0,1.0,0.0,1.0
101,Papua New Guinea,0.0,0.0,0.0,0.0
102,Sierra Leone,0.0,0.0,0.0,0.0
103,Sudan,0.0,1.0,0.0,1.0
104,Swaziland,0.0,0.0,0.0,0.0
105,Turkmenistan,0.0,0.0,0.0,0.0
106,"Virgin Islands, British",0.0,0.0,0.0,0.0
107,Palau,0.0,0.0,0.0,0.0
108,Vanuatu,0.0,0.0,0.0,0.0
109,Oman,0.0,0.0,0.0,0.0
110,Yemen,0.0,0.0,0.0,0.0
111,Zambia,0.0,1.0,1.0,2.0
112,Philippines,0.0,3.0,7.0,10.0
113,Solomon Islands,0.0,0.0,0.0,0.0
114,Somalia,0.0,0.0,0.0,0.0
115,Sri Lanka,0.0,2.0,0.0,2.0
116,Senegal,0.0,1.0,0.0,1.0
117,Saudi Arabia,0.0,1.0,2.0,3.0
118,Sao Tome and Principe,0.0,0.0,0.0,0.0
119,San Marino,0.0,0.0,0.0,0.0
120,Samoa,0.0,0.0,0.0,0.0
121,Saint Vincent,0.0,0.0,0.0,0.0
122,Saint Lucia,0.0,0.0,0.0,0.0
123,Saint Kitts,0.0,0.0,0.0,0.0
124,Tonga,0.0,1.0,0.0,1.0
125,South Sudan,0.0,0.0,0.0,0.0
126,Rwanda,0.0,0.0,0.0,0.0
127,Togo,0.0,0.0,1.0,1.0
128,Seychelles,0.0,0.0,0.0,0.0
129,Republic of Congo,0.0,0.0,0.0,0.0
130,Qatar,0.0,1.0,4.0,5.0
131,Timor-Leste,0.0,0.0,0.0,0.0
132,Afghanistan,0.0,0.0,2.0,2.0
133,Niger,0.0,1.0,1.0,2.0
134,Nicaragua,0.0,0.0,0.0,0.0
135,Cayman Islands,0.0,0.0,0.0,0.0
136,Central African Republic,0.0,0.0,0.0,0.0
137,Chad,0.0,0.0,0.0,0.0
138,Comoros,0.0,0.0,0.0,0.0
139,Cook Islands,0.0,0.0,0.0,0.0
140,Curacao,0.0,1.0,0.0,1.0
141,Cyprus,0.0,1.0,0.0,1.0
142,Democratic Republic of the Congo,0.0,0.0,0.0,0.0
143,Djibouti,0.0,0.0,1.0,1.0
144,Dominica,0.0,0.0,0.0,0.0
145,El Salvador,0.0,0.0,0.0,0.0
146,Equatorial Guinea,0.0,0.0,0.0,0.0
147,Eritrea,0.0,0.0,1.0,1.0
148,Gabon,0.0,1.0,0.0,1.0
149,Gambia,0.0,0.0,0.0,0.0
150,Cape Verde,0.0,0.0,0.0,0.0
151,Cambodia,0.0,0.0,0.0,0.0
152,Burkina Faso,0.0,0.0,0.0,0.0
153,Barbados,0.0,0.0,1.0,1.0
154,American Samoa,0.0,0.0,0.0,0.0
155,Andorra,0.0,0.0,0.0,0.0
156,Angola,0.0,0.0,0.0,0.0
157,Antigua,0.0,0.0,0.0,0.0
158,Aruba,0.0,0.0,0.0,0.0
159,Bangladesh,0.0,0.0,0.0,0.0
160,Belize,0.0,0.0,0.0,0.0
161,Brunei,0.0,0.0,0.0,0.0
162,Benin,0.0,0.0,0.0,0.0
163,Bermuda,0.0,0.0,1.0,1.0
164,Bhutan,0.0,0.0,0.0,0.0
165,Boliva,0.0,0.0,0.0,0.0
166,Bosnia and Herzegovina,0.0,0.0,0.0,0.0
167,Botswana,0.0,1.0,0.0,1.0
168,Ghana,0.0,1.0,3.0,4.0
169,Guam,0.0,0.0,0.0,0.0
170,Guatemala,0.0,1.0,0.0,1.0
171,Micronesia,0.0,0.0,0.0,0.0
172,Maldives,0.0,0.0,0.0,0.0
173,Mali,0.0,0.0,0.0,0.0
174,Malta,0.0,0.0,0.0,0.0
175,Marshall Islands,0.0,0.0,0.0,0.0
176,Mauritania,0.0,0.0,0.0,0.0
177,Mauritius,0.0,0.0,1.0,1.0
178,Moldova,0.0,2.0,5.0,7.0
179,Malawi,0.0,0.0,0.0,0.0
180,Monaco,0.0,0.0,1.0,1.0
181,Montenegro,0.0,1.0,0.0,1.0
182,Myanmar,0.0,0.0,0.0,0.0
183,Namibia,0.0,4.0,0.0,4.0
184,Nauru,0.0,0.0,0.0,0.0
185,Nepal,0.0,0.0,0.0,0.0
186,Malaysia,0.0,7.0,4.0,11.0
187,Madagascar,0.0,0.0,0.0,0.0
188,Guinea,0.0,0.0,0.0,0.0
189,Kuwait,0.0,0.0,2.0,2.0
190,Guinea-Bissau,0.0,0.0,0.0,0.0
191,Guyana,0.0,0.0,1.0,1.0
192,Honduras,0.0,0.0,0.0,0.0
193,Iceland,0.0,2.0,2.0,4.0
194,Iraq,0.0,0.0,1.0,1.0
195,Kiribati,0.0,0.0,0.0,0.0
196,Kyrgyzstan,0.0,1.0,2.0,3.0
197,Macedonia,0.0,0.0,1.0,1.0
198,Laos,0.0,0.0,0.0,0.0
199,Lebanon,0.0,2.0,2.0,4.0
200,Lesotho,0.0,0.0,0.0,0.0
201,Albania,0.0,0.0,0.0,0.0
202,Libya,0.0,0.0,0.0,0.0
